filename,style_category,confidence_score
00000_00.jpg,a casual t-shirt or everyday top,0.8356119394302368
00001_00.jpg,a sporty activewear top or athletic jersey,0.6466419100761414
00002_00.jpg,a sporty activewear top or athletic jersey,0.9720855951309204
00003_00.jpg,a casual t-shirt or everyday top,0.8118810057640076
00005_00.jpg,a casual t-shirt or everyday top,0.7949458956718445
00007_00.jpg,a sporty activewear top or athletic jersey,0.8328865766525269
00009_00.jpg,a sporty activewear top or athletic jersey,0.9877942800521851
00010_00.jpg,a casual t-shirt or everyday top,0.7937585711479187
00011_00.jpg,a sporty activewear top or athletic jersey,0.9676159620285034
00012_00.jpg,a casual t-shirt or everyday top,0.6180040240287781
00014_00.jpg,a casual t-shirt or everyday top,0.5587735772132874
00015_00.jpg,a sporty activewear top or athletic jersey,0.8063305020332336
00016_00.jpg,a casual t-shirt or everyday top,0.5127457976341248
00018_00.jpg,a sporty activewear top or athletic jersey,0.4940410852432251
00019_00.jpg,a casual t-shirt or everyday top,0.5706014037132263
00022_00.jpg,a casual t-shirt or everyday top,0.3598385453224182
00023_00.jpg,a sporty activewear top or athletic jersey,0.7170899510383606
00024_00.jpg,a sporty activewear top or athletic jersey,0.6359302401542664
00025_00.jpg,a sporty activewear top or athletic jersey,0.9518718719482422
00026_00.jpg,a sporty activewear top or athletic jersey,0.7908722758293152
00028_00.jpg,a sporty activewear top or athletic jersey,0.6221514344215393
00029_00.jpg,a casual t-shirt or everyday top,0.6812114715576172
00030_00.jpg,a sporty activewear top or athletic jersey,0.9771694540977478
00031_00.jpg,a sporty activewear top or athletic jersey,0.9589070677757263
00032_00.jpg,a casual t-shirt or everyday top,0.8450363874435425
00033_00.jpg,bohemian or festival style clothing,0.49283769726753235
00036_00.jpg,a formal business blouse or professional shirt,0.8310769200325012
00038_00.jpg,a casual t-shirt or everyday top,0.933462381362915
00040_00.jpg,a casual t-shirt or everyday top,0.8868848085403442
00041_00.jpg,a casual t-shirt or everyday top,0.8505949378013611
00042_00.jpg,a casual t-shirt or everyday top,0.852581799030304
00043_00.jpg,a casual t-shirt or everyday top,0.9225338101387024
00044_00.jpg,a sporty activewear top or athletic jersey,0.7824934720993042
00045_00.jpg,a casual t-shirt or everyday top,0.966175377368927
00046_00.jpg,a casual t-shirt or everyday top,0.829563319683075
00047_00.jpg,a sporty activewear top or athletic jersey,0.4082300364971161
00048_00.jpg,a sporty activewear top or athletic jersey,0.8839541077613831
00049_00.jpg,a casual t-shirt or everyday top,0.603824257850647
